,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,P_type
7092,Rune Factory: Tides of Destiny,PS3,2011.0,Role-Playing,Marvelous Interactive,0.14,0.0,0.07,0.02,0.23,55.0,12.0,7.9,44.0,Neverland,E10+,Console
7093,Ys Seven,PSP,2009.0,Role-Playing,Falcom Corporation,0.14,0.0,0.08,0.02,0.23,79.0,27.0,8.5,65.0,Falcom,T,Handheld System
7094,NCAA GameBreaker 2004,PS2,2003.0,Sports,Sony Computer Entertainment,0.11,0.09,0.0,0.03,0.23,61.0,15.0,,,989 Sports,E,Console
7095,Ninja Gaiden Sigma,PSV,2012.0,Action,Tecmo Koei,0.1,0.05,0.04,0.03,0.23,,,,,,,Handheld System
7096,Lumines: Electronic Symphony,PSV,2012.0,Misc,Ubisoft,0.09,0.09,0.01,0.04,0.23,83.0,65.0,7.8,85.0,Q Entertainment,E,Handheld System
7097,Tony Hawk's Proving Ground,DS,2007.0,Sports,Activision,0.2,0.01,0.0,0.02,0.23,79.0,21.0,6.7,6.0,Vicarious Visions,E10+,Handheld System
7098,The Polar Express,PS2,2004.0,Adventure,THQ,0.11,0.09,0.0,0.03,0.23,39.0,10.0,4.3,6.0,Blue Tongue,E,Console
7099,Bass Pro Shops: The Hunt,Wii,2010.0,Sports,XS Games,0.21,0.0,0.0,0.01,0.23,,,,,Griffin International,T,Console
7100,AC/DC LIVE: Rock Band Track Pack,X360,2008.0,Misc,MTV Games,0.21,0.0,0.0,0.02,0.23,63.0,16.0,4.9,10.0,Harmonix Music Systems,T,Console
7101,Buzz! Junior: RoboJam,PS2,2007.0,Misc,Sony Computer Entertainment,0.11,0.09,0.0,0.03,0.23,,,,,,,Console
7102,Valhalla Knights 2,PSP,2008.0,Role-Playing,Rising Star Games,0.09,0.0,0.12,0.01,0.23,50.0,13.0,5.4,13.0,K2,E10+,Handheld System
7103,Deca Sports 3,Wii,2010.0,Sports,Hudson Soft,0.14,0.07,0.0,0.02,0.23,41.0,7.0,,,"Hudson, NATSUME ATARI Inc.",E,Console
7104,Tetris Attack,GB,1996.0,Puzzle,Nintendo,0.0,0.0,0.23,0.0,0.23,,,,,,,Handheld System
7105,Spec Ops: The Line,PC,2012.0,Shooter,Take-Two Interactive,0.11,0.09,0.0,0.02,0.23,76.0,16.0,8.2,1237.0,Yager,M,OS
7106,Saint Seiya: Sanctuary Battle,PS3,2011.0,Action,Namco Bandai Games,0.0,0.09,0.11,0.02,0.23,62.0,14.0,7.3,34.0,Dimps Corporation,,Console
7107,NBA ShootOut 2003,PS2,2002.0,Sports,Sony Computer Entertainment,0.11,0.09,0.0,0.03,0.23,62.0,22.0,5.9,8.0,SCEA,E,Console
7108,Shin Nippon Pro Wrestling: Toukon Retsuden 3,PS,1998.0,Fighting,Tomy Corporation,0.0,0.0,0.21,0.01,0.23,,,,,,,Console
7109,Big Beach Sports 2,Wii,,Sports,THQ,0.09,0.11,0.0,0.02,0.23,,,,,Jet Black Games,E,Console
7110,Digimon World DS (JP sales),DS,2006.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.23,0.0,0.23,,,,,,,Handheld System
7111,NHL FaceOff 2003,PS2,2002.0,Sports,Sony Computer Entertainment,0.11,0.09,0.0,0.03,0.23,55.0,20.0,,,989 Sports,E,Console
7112,Jersey Devil,PS,1997.0,Platform,Ocean,0.13,0.09,0.0,0.01,0.23,,,,,,,Console
7113,Need For Speed: Undercover,DS,2008.0,Racing,Electronic Arts,0.18,0.03,0.0,0.02,0.23,59.0,7.0,6.7,6.0,Firebrand Games,E10+,Handheld System
7114,Guitar Hero Live,X360,2015.0,Misc,Activision,0.13,0.08,0.0,0.02,0.23,,,5.5,19.0,Activision,T,Console
7115,Rogue Ops,PS2,2003.0,Action,Kemco,0.11,0.09,0.0,0.03,0.23,61.0,26.0,9.2,6.0,Bits Studios,M,Console
7116,Vancouver 2010 - The Official Video Game of the Olympic Winter Games,X360,2010.0,Sports,Sega,0.08,0.12,0.0,0.02,0.23,,,,,,,Console
7117,3rd Super Robot Wars Z Jigoku Hen,PS3,2014.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.23,0.0,0.23,,,,,,,Console
7118,Killer is Dead,PS3,2013.0,Action,Deep Silver,0.12,0.03,0.05,0.03,0.23,64.0,39.0,7.9,215.0,Grasshopper Manufacture,M,Console
7119,F1 2014,X360,2014.0,Racing,Codemasters,0.08,0.13,0.0,0.02,0.23,64.0,14.0,4.1,20.0,Codemasters Birmingham,E,Console
7120,New Carnival Games,DS,2010.0,Misc,Take-Two Interactive,0.16,0.05,0.0,0.02,0.22,,,,,Cat Daddy Games,E,Handheld System
7121,Legion: The Legend of Excalibur,PS2,2002.0,Action,Midway Games,0.11,0.09,0.0,0.03,0.22,51.0,21.0,7,6.0,7 Studios,M,Console
7122,Puzzle & Dragons X: God Chapter / Dragon Chapter,3DS,2016.0,Action,GungHo,0.0,0.0,0.22,0.0,0.22,,,,,,,Handheld System
7123,Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack,PS3,2011.0,Action,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,,,,,,,Console
7124,TNA iMPACT!,PS2,2008.0,Fighting,Midway Games,0.1,0.0,0.0,0.12,0.22,,,,,,,Console
7125,LEGO Jurassic World,PSV,2015.0,Action,Warner Bros. Interactive Entertainment,0.05,0.13,0.0,0.05,0.22,,,7.6,11.0,TT Games,E10+,Handheld System
7126,Def Jam: Fight for NY,GC,2004.0,Fighting,Electronic Arts,0.17,0.05,0.0,0.01,0.22,,,,,,,Console
7127,Sword Art Online: Infinity Moment,PSP,2013.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,,,,,,,Handheld System
7128,Spartan: Total Warrior,PS2,2005.0,Action,Sega,0.11,0.09,0.0,0.03,0.22,74.0,33.0,8.4,65.0,Creative Assembly,M,Console
7129,EX Monopoly,GBA,2001.0,Misc,Takara,0.16,0.06,0.0,0.0,0.22,,,,,,,Handheld System
7130,Ultimate Duck Hunting: Hunting & Retrieving Ducks,Wii,2007.0,Sports,Detn8 Games,0.21,0.0,0.0,0.02,0.22,,,,,,,Console
7131,64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,1997.0,Misc,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,,,,,,,Console
7132,Family Party: 30 Great Games Winter Fun,Wii,2010.0,Sports,D3Publisher,0.21,0.0,0.0,0.01,0.22,,,,,Tamsoft,E,Console
7133,Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,GC,2003.0,Misc,Acclaim Entertainment,0.17,0.04,0.0,0.01,0.22,,,,,,,Console
7134,Deadly Duck,2600,1981.0,Shooter,20th Century Fox Video Games,0.21,0.01,0.0,0.0,0.22,,,,,,,Console
7135,Assault,2600,1982.0,Action,Bomb,0.21,0.01,0.0,0.0,0.22,,,,,,,Console
7136,Reactor,2600,1981.0,Action,Parker Bros.,0.21,0.01,0.0,0.0,0.22,,,,,,,Console
7137,Gundam Battle Chronicle,PSP,2007.0,Action,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,,,,,,,Handheld System
7138,Zumba Fitness: World Party,Wii,2013.0,Misc,Majesco Entertainment,0.11,0.1,0.0,0.02,0.22,,,,,Zoe Mode,E,Console
7139,Danball Senki Boost,PSP,2011.0,Action,Level 5,0.0,0.0,0.22,0.0,0.22,,,,,,,Handheld System
7140,Justice League Heroes,PSP,2006.0,Role-Playing,Eidos Interactive,0.2,0.01,0.0,0.02,0.22,72.0,13.0,7.8,5.0,Snowblind Studios,T,Handheld System
7141,101-in-1 Party Megamix Wii,Wii,2009.0,Misc,Nordcurrent,0.19,0.01,0.0,0.02,0.22,,,,,,,Console
7142,Conflict: Vietnam,XB,2004.0,Shooter,SCi,0.17,0.05,0.0,0.01,0.22,60.0,40.0,7.3,9.0,Pivotal Games,M,Console
7143,Hatsune Miku: Project Mirai 2,3DS,2013.0,Action,Sega,0.0,0.0,0.22,0.0,0.22,,,,,,,Handheld System
7144,Whirl Tour,PS2,2002.0,Sports,Crave Entertainment,0.11,0.09,0.0,0.03,0.22,58.0,9.0,7,5.0,Papaya Studios,E,Console
7145,Time Crisis: Crisis Zone,PS2,2004.0,Shooter,Namco Bandai Games,0.11,0.09,0.0,0.03,0.22,66.0,38.0,,,Namco,T,Console
7146,Momotarou Dentetsu 15,PS2,2005.0,Misc,Hudson Soft,0.0,0.0,0.22,0.0,0.22,,,,,,,Console
7147,Ben 10 Ultimate Alien: Cosmic Destruction,PS2,2010.0,Platform,D3Publisher,0.13,0.06,0.0,0.04,0.22,,,,,Papaya Studios,E10+,Console
7148,NBA Street: Showdown,PSP,2005.0,Sports,Electronic Arts,0.2,0.0,0.0,0.02,0.22,75.0,25.0,8.5,15.0,EA Canada,E,Handheld System
7149,We Sing Pop!,Wii,2012.0,Misc,Nordic Games,0.05,0.15,0.0,0.02,0.22,,,,,,,Console
7150,pro evolution soccer 2011,Wii,2010.0,Sports,Konami Digital Entertainment,0.07,0.1,0.03,0.02,0.22,78.0,9.0,5.4,7.0,Konami,E,Console
7151,Skies of Arcadia Legends,GC,2002.0,Role-Playing,Atari,0.17,0.04,0.0,0.01,0.22,84.0,31.0,9.2,95.0,Overworks,T,Console
7152,MotoGP 08,PS2,2008.0,Racing,Capcom,0.01,0.0,0.0,0.21,0.22,,,,,Milestone S.r.l,E,Console
7153,Sengoku Basara 3 Utage,PS3,2011.0,Action,Capcom,0.0,0.0,0.22,0.0,0.22,,,,,,,Console
7154,Breath of Fire,GBA,2001.0,Role-Playing,Ubisoft,0.11,0.04,0.06,0.0,0.22,79.0,17.0,8.8,9.0,Capcom,E,Handheld System
7155,Last Window: The Secret of Cape West,DS,2010.0,Adventure,Nintendo,0.0,0.11,0.09,0.02,0.22,,,,,,,Handheld System
7156,Risen 2: Dark Waters,PC,2012.0,Role-Playing,Deep Silver,0.0,0.19,0.0,0.03,0.22,69.0,51.0,5.6,751.0,Piranha Bytes,M,OS
7157,Petz Monkeyz House,DS,2008.0,Simulation,Ubisoft,0.2,0.0,0.0,0.02,0.22,,,,,Ubisoft,E,Handheld System
7158,Ford vs. Chevy,PS2,2005.0,Racing,Global Star,0.11,0.09,0.0,0.03,0.22,,,8,5.0,Eutechnyx,E,Console
7159,LEGO The Hobbit,WiiU,2014.0,Action,Warner Bros. Interactive Entertainment,0.09,0.11,0.0,0.02,0.22,,,7.8,11.0,TT Games,E10+,Console
7160,Darksiders II,PS4,2015.0,Action,Nordic Games,0.09,0.1,0.0,0.04,0.22,,,,,,,Console
7161,NCAA Football 2005,GC,2004.0,Sports,Electronic Arts,0.17,0.04,0.0,0.01,0.22,88.0,18.0,9,5.0,EA Sports,E,Console
7162,Hamtaro: Ham-Ham Games,GBA,2004.0,Sports,Nintendo,0.16,0.06,0.0,0.0,0.22,77.0,20.0,7.8,6.0,Alphadream Corporation,E,Handheld System
7163,Danny Phantom: The Ultimate Enemy,GBA,2005.0,Action,THQ,0.16,0.06,0.0,0.0,0.22,,,8.8,4.0,Altron,E,Handheld System
7164,Cloudy With a Chance of Meatballs,DS,2009.0,Platform,Ubisoft,0.2,0.01,0.0,0.02,0.22,,,,,Ubisoft,E,Handheld System
7165,Soul Sacrifice Delta,PSV,2014.0,Action,Sony Computer Entertainment,0.0,0.08,0.12,0.02,0.22,82.0,24.0,8.4,125.0,SCE Japan Studio,M,Handheld System
7166,Crazy Climber,2600,1981.0,Action,Atari,0.21,0.01,0.0,0.0,0.22,,,,,,,Console
7167,NASCAR 2011: The Game,Wii,2011.0,Racing,Activision,0.21,0.0,0.0,0.01,0.22,42.0,5.0,3.1,9.0,Eutechnyx,E,Console
7168,Super Adventure Island,SNES,1992.0,Platform,Hudson Soft,0.0,0.0,0.22,0.0,0.22,,,,,,,Console
7169,Discovery Kids: Dolphin Discovery,DS,2008.0,Simulation,505 Games,0.2,0.0,0.0,0.01,0.22,,,,,505 Games,E,Handheld System
7170,Spider-Man: Edge of Time,PS3,2011.0,Action,Activision,0.13,0.07,0.0,0.03,0.22,58.0,43.0,7.2,29.0,Beenox,T,Console
7171,Bust-A-Move 4,PS,1998.0,Puzzle,Acclaim Entertainment,0.12,0.08,0.0,0.01,0.22,,,,,,,Console
7172,Ride,PS4,2015.0,Racing,Milestone S.r.l.,0.04,0.13,0.03,0.03,0.22,66.0,30.0,7,47.0,Milestone S.r.l,E,Console
7173,NFL Quarterback Club 97,PS,1996.0,Sports,Acclaim Entertainment,0.12,0.08,0.0,0.01,0.22,,,,,,,Console
7174,Spirit Camera: The Cursed Memoir,3DS,2012.0,Adventure,Nintendo,0.13,0.02,0.06,0.01,0.22,54.0,35.0,6.1,28.0,Tecmo Koei Games,T,Handheld System
7175,Yu-Gi-Oh! GX: Tag Force 3,PSP,2008.0,Strategy,Konami Digital Entertainment,0.0,0.03,0.18,0.01,0.22,,,,,,,Handheld System
7176,Galactic Wrestling: Featuring Ultimate Muscle,PS2,2004.0,Fighting,Namco Bandai Games,0.03,0.02,0.17,0.01,0.22,61.0,12.0,8,5.0,Aki Corp.,T,Console
7177,FaceBreaker K.O. Party,Wii,2008.0,Fighting,Electronic Arts,0.19,0.01,0.0,0.02,0.22,61.0,15.0,5.6,7.0,EA Canada,T,Console
7178,Dino Stalker,PS2,2002.0,Shooter,Capcom,0.07,0.06,0.08,0.02,0.22,50.0,18.0,6.3,8.0,Capcom,M,Console
7179,Mobile Suit Gundam Seed,PS2,2003.0,Action,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,,,,,,,Console
7180,Rock Band Track Pack: Classic Rock,Wii,2009.0,Misc,MTV Games,0.21,0.0,0.0,0.02,0.22,,,,,Harmonix Music Systems,T,Console
7181,Petz Rescue: Endangered Paradise,DS,2008.0,Adventure,Ubisoft,0.21,0.0,0.0,0.02,0.22,,,,,Phoenix Interactive Entertainment,E,Handheld System
7182,Rapala's Fishing Frenzy,Wii,2008.0,Sports,Activision,0.2,0.0,0.0,0.02,0.22,61.0,5.0,,,FUN Labs,E,Console
7183,Mega Man Zero 3,GBA,2004.0,Platform,Capcom,0.16,0.06,0.0,0.0,0.22,77.0,21.0,9,22.0,Inti,E,Handheld System
7184,Super Swing Golf,Wii,2006.0,Sports,Nintendo,0.14,0.01,0.07,0.01,0.22,72.0,44.0,7.8,15.0,"Tecmo, Ntreev Soft",E10+,Console
7185,G-Force,PS3,2009.0,Action,Disney Interactive Studios,0.13,0.06,0.0,0.03,0.22,68.0,22.0,7.6,7.0,Eurocom Entertainment Software,E10+,Console
7186,Luminous Arc 2,DS,2008.0,Role-Playing,Rising Star Games,0.2,0.0,0.0,0.02,0.22,73.0,19.0,7.7,14.0,"Image Epoch, Imageepoch",T,Handheld System
7187,Barbie Super Sports,PS,1999.0,Sports,Mattel Interactive,0.12,0.08,0.0,0.01,0.22,,,,,,,Console
7188,Shinobi,3DS,2011.0,Platform,Sega,0.14,0.07,0.0,0.02,0.22,69.0,33.0,7.3,33.0,Griptonite Games,T,Handheld System
7189,Nicktoons Collection: Game Boy Advance Video Volume 2,GBA,2004.0,Misc,,0.16,0.06,0.0,0.0,0.22,,,,,,,Handheld System
7190,Tony Hawk's Downhill Jam,DS,2006.0,Sports,Activision,0.2,0.0,0.0,0.02,0.22,76.0,34.0,7,7.0,Vicarious Visions,E,Handheld System
7191,Risen 2: Dark Waters,PS3,2012.0,Role-Playing,Deep Silver,0.04,0.13,0.01,0.04,0.22,47.0,13.0,5.2,37.0,Piranha Bytes,M,Console
7192,Age of Empires: The Age of Kings,DS,2006.0,Strategy,THQ,0.18,0.02,0.0,0.02,0.22,80.0,38.0,7.9,59.0,Backbone Entertainment,E10+,Handheld System
7193,Duel Masters: Kaijudo Showdown,GBA,2004.0,Misc,Atari,0.16,0.06,0.0,0.0,0.22,66.0,10.0,,,Mistic Software,E,Handheld System
7194,Muramasa: The Demon Blade,PSV,2013.0,Role-Playing,Marvelous Entertainment,0.1,0.0,0.1,0.02,0.22,,,,,,,Handheld System
7195,MotoGP 09/10,PS3,2010.0,Racing,Capcom,0.05,0.13,0.0,0.04,0.22,70.0,42.0,5.4,28.0,Monumental Games,E,Console
7196,The Lord of the Rings: The Third Age,GBA,2004.0,Role-Playing,Electronic Arts,0.16,0.06,0.0,0.0,0.22,67.0,7.0,8.5,12.0,Griptonite Games,T,Handheld System
7197,Dinosaur King,DS,2007.0,Strategy,Sega,0.2,0.0,0.0,0.02,0.22,61.0,13.0,8,9.0,Climax Entertainment,E,Handheld System
7198,The Suffering,XB,2004.0,Action,Midway Games,0.16,0.05,0.0,0.01,0.22,77.0,44.0,8.8,23.0,Surreal Software,M,Console
7199,Pitfall: The Big Adventure,Wii,2008.0,Adventure,Activision,0.19,0.02,0.0,0.02,0.22,,,6.3,6.0,Edge of Reality,E,Console
7200,Tetris Worlds,GC,2002.0,Puzzle,THQ,0.17,0.04,0.0,0.01,0.22,47.0,10.0,5.6,8.0,Radical Entertainment,E,Console
7201,Chou-Kuukan Night Pro Yakyuu King(higher JP sales),N64,1996.0,Sports,Imagineer,0.0,0.0,0.22,0.0,0.22,,,,,,,Console
7202,Mega Man 64,N64,2000.0,Action,Capcom,0.14,0.03,0.05,0.0,0.22,,,,,,,Console
7203,Rampage 2: Universal Tour,N64,1999.0,Action,GT Interactive,0.18,0.04,0.0,0.0,0.22,,,,,,,Console
7204,Ms. Pac-Man: Maze Madness,N64,2000.0,Puzzle,Namco Bandai Games,0.18,0.04,0.0,0.0,0.22,,,,,,,Console
7205,ECW Hardcore Revolution,N64,2000.0,Fighting,Acclaim Entertainment,0.18,0.04,0.0,0.0,0.22,,,,,,,Console
7206,The Sims 4: Get Together,PC,2015.0,Simulation,Electronic Arts,0.05,0.15,0.0,0.02,0.22,72.0,16.0,7.3,117.0,Maxis,T,OS
7207,Tales of Graces,Wii,2009.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,,,,,,,Console
7208,Viewtiful Joe 2,GC,2004.0,Action,Capcom,0.17,0.04,0.0,0.01,0.22,86.0,39.0,8.3,19.0,Clover Studio,T,Console
7209,Neopets Puzzle Adventure,Wii,2008.0,Puzzle,Capcom,0.18,0.02,0.0,0.02,0.22,52.0,11.0,,,Infinite Interactive,E,Console
7210,Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,PS2,2002.0,Misc,Acclaim Entertainment,0.11,0.08,0.0,0.03,0.22,,,,,,,Console
7211,LEGO Harry Potter: Years 5-7,PC,,Action,Warner Bros. Interactive Entertainment,0.05,0.14,0.0,0.03,0.22,80.0,5.0,8.5,44.0,Traveller's Tales,E10+,OS
7212,Child of Eden,PS3,2011.0,Shooter,Ubisoft,0.09,0.1,0.0,0.04,0.22,81.0,21.0,7.8,25.0,Q Entertainment,E10+,Console
7213,All Star Karate,Wii,2010.0,Action,THQ,0.13,0.07,0.0,0.02,0.22,46.0,4.0,,,THQ,E10+,Console
7214,Dragon Ball: Origins (JP & incomplete US sales),DS,2008.0,Adventure,Atari,0.04,0.0,0.17,0.0,0.22,,,,,,,Handheld System
7215,NBA Jam Extreme,PS,1996.0,Sports,Acclaim Entertainment,0.12,0.08,0.0,0.01,0.22,,,,,,,Console
7216,Naruto Shippuden: Ninja Council 4,DS,2007.0,Action,Nintendo,0.08,0.0,0.13,0.01,0.22,49.0,10.0,,,"Aspect, Takara Tomy",E10+,Handheld System
7217,Touch the Dead,DS,2007.0,Shooter,Eidos Interactive,0.2,0.0,0.0,0.02,0.22,56.0,31.0,5.6,5.0,Secret Stash Games,M,Handheld System
7218,Worms: Battle Islands,Wii,2010.0,Strategy,THQ,0.1,0.1,0.0,0.02,0.22,58.0,13.0,,,Team 17,E10+,Console
7219,Nickelodeon Party Blast,XB,2002.0,Misc,Infogrames,0.16,0.05,0.0,0.01,0.22,19.0,4.0,4.3,7.0,Data Design Interactive,E,Console
7220,Jackass the Game,PSP,2007.0,Action,Empire Interactive,0.09,0.08,0.0,0.05,0.22,58.0,21.0,7,12.0,Sidhe Interactive,M,Handheld System
7221,Ragnarok DS,DS,2008.0,Role-Playing,GungHo,0.1,0.0,0.11,0.01,0.22,53.0,19.0,5.8,17.0,GungHo,E10+,Handheld System
7222,NHL Championship 2000,PS,1998.0,Sports,Fox Interactive,0.12,0.08,0.0,0.01,0.22,,,,,,,Console
7223,ATV Quad Kings,Wii,2009.0,Racing,Zoo Digital Publishing,0.2,0.0,0.0,0.01,0.22,33.0,4.0,,,Beyond Reality,E,Console
7224,Shellshock: Nam '67,XB,2004.0,Shooter,Eidos Interactive,0.16,0.05,0.0,0.01,0.22,58.0,37.0,7,14.0,Guerrilla,M,Console
7225,Ultimate Band,DS,2008.0,Misc,Disney Interactive Studios,0.19,0.02,0.0,0.02,0.22,69.0,11.0,,,Fall Line Studio,E,Handheld System
7226,Kartia: The Word of Fate,PS,1998.0,Strategy,Konami Digital Entertainment,0.05,0.03,0.12,0.01,0.22,,,,,,,Console
7227,Karaoke Revolution Glee 2: Road to Regionals,Wii,2011.0,Misc,Konami Digital Entertainment,0.14,0.06,0.0,0.02,0.22,,,,,,,Console
7228,Magna Carta: Tears of Blood,PS2,2004.0,Role-Playing,505 Games,0.11,0.08,0.0,0.03,0.22,66.0,34.0,7,22.0,SoftMax,T,Console
7229,All-Star Baseball 2002,GC,2001.0,Sports,Acclaim Entertainment,0.17,0.04,0.0,0.01,0.22,66.0,17.0,5.6,9.0,Acclaim,E,Console
7230,Lethal Skies Elite Pilot: Team SW,PS2,2001.0,Simulation,Sammy Corporation,0.11,0.08,0.0,0.03,0.22,59.0,16.0,,,Bit Town,E,Console
7231,Capcom vs. SNK,DC,2000.0,Fighting,Virgin Interactive,0.0,0.0,0.22,0.0,0.22,80.0,17.0,9,24.0,Capcom,T,Console
7232,Pinball Hall of Fame: The Williams Collection,PS3,2009.0,Misc,Crave Entertainment,0.2,0.0,0.0,0.02,0.22,82.0,16.0,7.9,8.0,Farsight Studios,E10+,Console
7233,Aliens vs Predator: Requiem,PSP,2007.0,Action,Vivendi Games,0.03,0.12,0.0,0.07,0.22,49.0,34.0,5.6,19.0,Rebellion,T,Handheld System
7234,Dishonored 2,XOne,2016.0,Action,Bethesda Softworks,0.12,0.08,0.0,0.02,0.22,88.0,22.0,6.8,156.0,Arkane Studios,M,Console
7235,Asphalt: Injection,PSV,2011.0,Action,Ubisoft,0.13,0.06,0.0,0.03,0.22,49.0,33.0,4.8,28.0,Ubisoft,E10+,Handheld System
7236,Tamagotchi no KiraKira Omisecchi,DS,2008.0,Misc,Namco Bandai Games,0.0,0.0,0.22,0.0,0.22,,,,,,,Handheld System
7237,From Russia With Love,GC,2005.0,Action,Electronic Arts,0.17,0.04,0.0,0.01,0.22,70.0,20.0,8.5,13.0,Electronic Arts,T,Console
7238,Family Fest presents: Movie Games,Wii,2008.0,Action,Ubisoft,0.2,0.01,0.0,0.02,0.22,,,,,Phoenix Entertainment,E10+,Console
7239,Guitar Hero: Smash Hits,PS2,2009.0,Misc,Activision,0.11,0.01,0.0,0.1,0.22,69.0,6.0,8.3,6.0,Beenox,T,Console
7240,NBA Live 09 All-Play,Wii,2008.0,Sports,Electronic Arts,0.19,0.01,0.0,0.02,0.22,51.0,11.0,5.9,14.0,EA Sports,E,Console
7241,NFL Quarterback Club 2002,PS2,2001.0,Sports,Acclaim Entertainment,0.11,0.08,0.0,0.03,0.22,67.0,12.0,7.8,6.0,Acclaim,E,Console
7242,NCAA Basketball 09,X360,2008.0,Sports,Electronic Arts,0.2,0.0,0.0,0.02,0.22,70.0,23.0,5.6,8.0,EA Canada,E,Console
7243,Kirby's Star Stacker,GB,1997.0,Puzzle,Nintendo,0.0,0.0,0.22,0.0,0.22,,,,,,,Handheld System
7244,Shin Megami Tensei: Persona,PSP,2009.0,Role-Playing,Atlus,0.08,0.0,0.13,0.01,0.22,78.0,30.0,8,47.0,ITL,T,Handheld System
7245,Kung Fu Panda 2,DS,2011.0,Action,THQ,0.15,0.05,0.0,0.02,0.22,,,,,,,Handheld System
7246,Lords of the Fallen,XOne,2014.0,Role-Playing,Square Enix,0.1,0.1,0.0,0.02,0.22,71.0,13.0,6.7,166.0,"City Interactive, Deck 13",M,Console
7247,LEGO The Lord of the Rings,PC,2012.0,Action,Warner Bros. Interactive Entertainment,0.07,0.13,0.0,0.03,0.22,80.0,6.0,8.2,127.0,TT Games,E10+,OS
7248,Kidz Bop Dance Party! The Video Game,Wii,2010.0,Misc,D3Publisher,0.2,0.0,0.0,0.01,0.22,,,,,,,Console
7249,Growlanser: Heritage of War,PS2,2006.0,Role-Playing,Rising Star Games,0.11,0.08,0.0,0.03,0.22,60.0,7.0,7.9,9.0,Career Soft,T,Console
7250,Ben 10 Alien Force: Vilgax Attacks,X360,2009.0,Action,D3Publisher,0.11,0.09,0.0,0.02,0.22,61.0,9.0,8.3,4.0,Papaya Studios,E10+,Console
7251,Imagine: Detective,DS,2009.0,Simulation,Ubisoft,0.14,0.01,0.0,0.06,0.22,,,,,Ubisoft Sao Paulo,E,Handheld System
7252,Rugby 2004,PS2,2003.0,Sports,Electronic Arts,0.11,0.08,0.0,0.03,0.22,61.0,13.0,6.8,65.0,HB Studios Multimedia,E,Console
7253,Disney's Magical Quest Starring Mickey and Minnie,GBA,2002.0,Action,Nintendo,0.16,0.06,0.0,0.0,0.22,,,,,,,Handheld System
7254,The Amazing Spider-Man 2 (2014),XOne,2014.0,Action,Activision,0.12,0.08,0.0,0.02,0.22,,,,,,,Console
7255,Senran Kagura 2: Deep Crimson ,3DS,2014.0,Action,Marvelous Entertainment,0.1,0.02,0.08,0.01,0.22,58.0,28.0,6.8,56.0,Tamsoft,M,Handheld System
7256,NBA 06,PSP,2005.0,Sports,Sony Computer Entertainment,0.2,0.0,0.0,0.02,0.22,72.0,19.0,5.4,8.0,SCEA Sports Studio,E,Handheld System
7257,KORG DS-10 Synthesizer,DS,2008.0,Misc,AQ Interactive,0.19,0.01,0.0,0.02,0.22,82.0,11.0,8.2,13.0,AQ Interactive,E,Handheld System
7258,Naruto: Ninja Council,GBA,2003.0,Action,Tomy Corporation,0.16,0.06,0.0,0.0,0.22,60.0,12.0,7.1,9.0,Aspect,E10+,Handheld System
7259,DS Nishimura Kyotaro Suspense Shin Tantei Series: Kyoto Atami Zekkai no Kotou - Satsui no Wana,DS,2007.0,Adventure,Tecmo Koei,0.0,0.0,0.22,0.0,0.22,,,,,,,Handheld System
7260,Tropico 3,X360,2009.0,Strategy,Kalypso Media,0.15,0.02,0.03,0.01,0.22,75.0,33.0,6.6,22.0,Haemimont,T,Console
7261,Wreckless: ThE YaKuza MisSiOns,PS2,2002.0,Racing,Activision,0.11,0.08,0.0,0.03,0.22,60.0,16.0,,,Stealth Studios,T,Console
7262,Deadly Creatures,Wii,2009.0,Action,THQ,0.08,0.12,0.0,0.02,0.22,72.0,45.0,8.8,36.0,Rainbow Studios,T,Console
7263,Naruto Shippuden: Ultimate Ninja Storm Revolution,X360,2014.0,Fighting,Namco Bandai Games,0.14,0.06,0.0,0.02,0.22,62.0,11.0,7.3,44.0,CyberConnect2,T,Console
7264,CSI: Fatal Conspiracy,Wii,2010.0,Adventure,Ubisoft,0.12,0.08,0.0,0.02,0.22,,,,,Telltale Games,M,Console
7265,Jikkyou Powerful Major League,PS2,2006.0,Sports,Konami Digital Entertainment,0.0,0.0,0.22,0.0,0.22,,,,,,,Console
7266,Dead Island,PC,2011.0,Action,Deep Silver,0.12,0.07,0.0,0.03,0.22,80.0,24.0,6.8,1428.0,Techland,M,OS
